Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),TotalWorkRateLevel
65.02,176.470588,7425.483151,99.895361,111.429015,87.687333,6900.546379,37.099077,33.175882,20.689655,0.783820,0.050383,334.165348,0.195955
66.02,176.470588,7429.283983,99.931205,111.483864,87.698504,6900.546379,37.100099,33.176933,20.979021,0.781371,0.052598,334.165348,0.195343
67.02,176.470588,7429.433070,99.984228,111.542222,87.749897,6900.546379,37.101118,33.177978,20.979021,0.773303,0.054039,334.165348,0.193326
68.02,176.470588,7429.200407,100.006925,111.561829,87.774214,6900.546379,37.102136,33.179014,20.979021,0.777245,0.050918,334.165348,0.194311
69.02,176.470588,7431.809022,100.048670,111.633098,87.828007,6900.546379,37.103153,33.180034,21.126761,0.781627,0.050324,334.165348,0.195407
70.02,176.470588,7428.898702,100.081328,111.683735,87.872058,6900.546379,37.104168,33.181051,21.126761,0.781945,0.051915,334.165348,0.195486
71.02,176.470588,7423.666757,100.069282,111.683478,87.879575,6900.546379,37.105182,33.182057,21.126761,0.774764,0.054164,334.165348,0.193691
72.02,176.470588,7415.470526,100.030335,111.673795,87.880357,6900.546379,37.106194,33.183053,21.276596,0.770244,0.053579,334.165348,0.192561
73.02,176.470588,7406.443919,99.986960,111.631078,87.855256,6900.546379,37.107204,33.184038,21.276596,0.779000,0.050518,334.165348,0.194750
74.02,176.470588,7391.918328,99.888007,111.533026,87.793742,6900.546379,37.108215,33.185010,21.276596,0.782438,0.051494,334.165348,0.195609
75.02,176.470588,7377.340017,99.775902,111.437860,87.734890,6900.546379,37.109223,33.185969,21.428571,0.780049,0.053689,334.165348,0.195012
76.02,166.666667,7141.961320,98.039414,110.351725,85.577523,6900.546379,37.110232,33.186900,21.428571,0.772538,0.054556,334.165348,0.193135
77.02,166.666667,7192.940909,98.110111,110.470756,85.471478,6900.546379,37.111244,33.187788,21.582734,0.780105,0.053134,334.165348,0.195026
78.02,166.666667,7245.593195,98.577211,111.040810,85.806354,6900.546379,37.112253,33.188670,21.582734,0.772162,0.056862,334.165348,0.193041
79.02,166.666667,7277.876489,98.938757,111.457464,86.115411,6900.546379,37.113261,33.189552,21.582734,0.775336,0.052512,334.165348,0.193834
80.02,166.666667,7313.135360,99.392848,112.003585,86.496583,6900.546379,37.114266,33.190434,21.739130,0.779904,0.053864,334.165348,0.194976
81.02,166.666667,7340.883845,99.750649,112.436833,86.794451,6900.546379,37.115269,33.191314,21.739130,0.770344,0.056452,334.165348,0.192586
82.02,166.666667,7356.367314,99.959928,112.676357,87.062763,6900.546379,37.116271,33.192186,21.739130,0.778379,0.052109,334.165348,0.194595
83.02,166.666667,7367.730950,100.160826,112.932888,87.248771,6900.546379,37.117272,33.193060,21.739130,0.779163,0.054503,334.165348,0.194791
84.02,166.666667,7381.306800,100.316436,113.122499,87.384735,6900.546379,37.118270,33.193929,21.739130,0.768368,0.055148,334.165348,0.192092
85.02,166.666667,7387.531112,100.405628,113.226941,87.458995,6900.546379,37.119269,33.194792,21.739130,0.780783,0.052213,334.165348,0.195196
86.02,166.666667,7389.241230,100.462259,113.306870,87.515681,6900.546379,37.120265,33.195649,21.897810,0.774253,0.055588,334.165348,0.193563
87.02,166.666667,7391.532285,100.487860,113.342340,87.540567,6900.546379,37.121260,33.196499,21.897810,0.775269,0.052691,334.165348,0.193817
88.02,166.666667,7390.214453,100.497085,113.365418,87.556455,6900.546379,37.122255,33.197340,21.897810,0.780963,0.052858,334.165348,0.195241
89.02,166.666667,7385.817693,100.462870,113.343947,87.541205,6900.546379,37.123248,33.198172,21.897810,0.771600,0.056023,334.165348,0.192900
90.02,166.666667,7385.373686,100.452689,113.337632,87.536719,6900.546379,37.124242,33.198994,21.897810,0.777441,0.051759,334.165348,0.194360
91.02,166.666667,7378.220504,100.404892,113.296556,87.508213,6900.546379,37.125234,33.199808,22.058824,0.779960,0.053830,334.165348,0.194990
92.02,166.666667,7394.426268,100.471329,113.280750,87.604748,6900.546379,37.126226,33.200612,22.058824,0.769095,0.055909,334.165348,0.192274
93.02,166.666667,7397.472323,100.513486,113.277136,87.658090,6900.546379,37.127217,33.201409,22.058824,0.779682,0.051931,334.165348,0.194920
94.02,166.666667,7412.942361,100.617305,113.239590,87.803411,6900.546379,37.128208,33.202200,22.058824,0.778298,0.054829,334.165348,0.194574
95.02,166.666667,7409.555170,100.652548,113.210233,87.854885,6900.546379,37.129198,33.202984,22.058824,0.774219,0.053098,334.165348,0.193555
96.02,166.666667,7405.308702,100.617537,113.089007,87.855294,6900.546379,37.130188,33.203759,22.058824,0.781624,0.052313,334.165348,0.195406
97.02,157.894737,7138.540562,99.162133,112.158424,85.743936,6900.546379,37.131179,33.204517,22.058824,0.770619,0.057191,334.165348,0.192655
98.02,157.894737,7204.826118,98.927052,111.906842,85.588854,6900.546379,37.132173,33.205230,22.058824,0.779504,0.053449,334.165348,0.194876
99.02,157.894737,7253.403437,99.224509,112.238206,85.850624,6900.546379,37.133167,33.205933,22.058824,0.769493,0.057874,334.165348,0.192373
100.02,157.894737,7278.502845,99.503246,112.544771,86.085907,6900.546379,37.134160,33.206633,22.058824,0.779850,0.053548,334.165348,0.194962
101.02,157.894737,7298.848295,99.810286,112.955278,86.317113,6900.546379,37.135153,33.207330,22.058824,0.769582,0.057498,334.165348,0.192395
102.02,157.894737,7319.041542,100.000395,113.168124,86.477259,6900.546379,37.136145,33.208024,22.058824,0.780296,0.053324,334.165348,0.195074
103.02,157.894737,7333.960748,100.237353,113.461806,86.661944,6900.546379,37.137137,33.208715,22.058824,0.769810,0.057161,334.165348,0.192453
104.02,157.894737,7340.889333,100.326453,113.599573,86.722569,6900.546379,37.138128,33.209401,22.058824,0.780576,0.053122,334.165348,0.195144
105.02,157.894737,7360.327902,100.490625,113.765864,86.866132,6900.546379,37.139118,33.210081,22.058824,0.769977,0.056970,334.165348,0.192494
106.02,157.894737,7360.898118,100.560163,113.872347,86.910779,6900.546379,37.140109,33.210756,22.058824,0.780756,0.052966,334.165348,0.195189
107.02,166.666667,7594.677007,102.301979,114.969572,89.297507,6900.546379,37.141096,33.211452,22.058824,0.774261,0.054920,334.165348,0.193565
108.02,157.894737,7282.038394,100.790395,114.047778,87.075589,6900.546379,37.142083,33.212141,22.058824,0.777924,0.051758,334.165348,0.194481
109.02,157.894737,7329.074480,100.288505,113.505411,86.695080,6900.546379,37.143073,33.212793,22.058824,0.773467,0.056381,334.165348,0.193367
110.02,157.894737,7340.686500,100.285041,113.492056,86.701006,6900.546379,37.144064,33.213430,22.058824,0.777285,0.052473,334.165348,0.194321
